region_id,name,country,lat,lon,endemic_focus,mean_temp_14d,min_temp_14d,max_temp_14d,mean_humidity_14d,total_precip_14d,vectorial_capacity_proxy,breeding_site_index
DEL,New Delhi,India,28.6139,77.209,Dengue/Chikungunya,29.4,28.4,30.4,82.76,110.2,0.8086,0.802
BOM,Mumbai,India,19.076,72.8777,Dengue/Malaria,27.2,26.0,27.7,82.9,195.6,0.8286,1.656
CCU,Kolkata,India,22.5726,88.3639,Dengue/Malaria,28.57,26.7,29.8,86.76,252.1,0.8612,2.221
MAA,Chennai,India,13.0827,80.2707,Dengue/Chikungunya,30.03,28.2,31.4,70.62,92.0,0.6773,0.62
BLR,Bengaluru,India,12.9716,77.5946,Dengue,23.57,22.7,24.7,76.81,74.3,0.6922,0.443
HYD,Hyderabad,India,17.385,78.4867,Dengue/Malaria,26.43,25.8,27.4,72.0,36.9,0.7147,0.069
AMD,Ahmedabad,India,23.0225,72.5714,Dengue/Malaria,28.66,26.9,29.9,75.43,60.6,0.7478,0.306
PNQ,Pune,India,18.5204,73.8567,Dengue/Zika,24.22,23.6,24.7,83.67,65.7,0.779,0.357
JAI,Jaipur,India,26.9124,75.7873,Dengue/Malaria,28.7,27.5,30.0,75.48,54.4,0.7478,0.244
LKO,Lucknow,India,26.8467,80.9462,Dengue/JE,28.95,27.1,31.5,86.33,166.6,0.8517,1.366
PAT,Patna,India,25.5941,85.1376,Dengue/Kala-azar,29.6,28.2,31.6,82.0,164.3,0.7968,1.343
GAU,Guwahati,India,26.1445,91.7362,Malaria/JE,28.63,27.5,31.1,86.62,309.8,0.8591,2.798
TRV,Thiruvananthapuram,India,8.5241,76.9366,Dengue/Chikungunya,-247.76,-999.0,25.95,-200.46,-3898.69,0.0,0.0
BBI,Bhubaneswar,India,20.2961,85.8245,Malaria/Dengue,-246.33,-999.0,28.44,-199.92,-3855.85,0.0,0.0
BKK,Bangkok,Thailand,13.7563,100.5018,Dengue,-246.45,-999.0,27.98,-201.89,-3930.98,0.0,0.0
JKT,Jakarta,Indonesia,-6.2088,106.8456,Dengue,29.1,28.0,30.0,65.52,29.8,0.6444,0.0
MNL,Manila,Philippines,14.5995,120.9842,Dengue,27.2,25.9,28.8,84.62,436.5,0.8457,4.065
DAC,Dhaka,Bangladesh,23.8103,90.4125,Dengue,28.89,27.3,30.3,83.24,128.0,0.8221,0.98
CMB,Colombo,Sri Lanka,6.9271,79.8612,Dengue,27.14,25.6,28.0,81.86,180.1,0.8179,1.501
SGN,Ho Chi Minh City,Vietnam,10.8231,106.6297,Dengue,27.67,26.5,29.5,82.05,181.0,0.8203,1.51
SIN,Singapore,Singapore,1.3521,103.8198,Dengue,28.2,26.9,28.9,75.48,58.6,0.7524,0.286
RGN,Yangon,Myanmar,16.8661,96.1951,Malaria/Dengue,26.24,25.2,27.9,92.05,503.3,0.9112,4.733
LOS,Lagos,Nigeria,6.5244,3.3792,Malaria,25.99,25.4,26.6,85.38,91.3,0.8413,0.613
FIH,Kinshasa,DR Congo,-4.4419,15.2663,Malaria,25.63,24.0,27.9,65.57,3.8,0.6411,0.0
NBO,Nairobi,Kenya,-1.2921,36.8219,Malaria,19.04,17.8,20.7,59.19,11.4,0.321,0.0
ACC,Accra,Ghana,5.6037,-0.187,Malaria,25.8,24.9,26.7,80.62,45.4,0.7913,0.154
EBB,Kampala,Uganda,0.3476,32.5825,Malaria,22.28,21.3,23.2,74.67,37.2,0.6163,0.072
DAR,Dar es Salaam,Tanzania,-6.7924,39.2083,Malaria,-247.92,-999.0,25.6,-212.66,-3983.82,0.0,0.0
